### column 1 -> r (angstroms)
### column 2 -> cc-pVTZ/RHF Energy (Hartrees)
### column 3 -> cc-pVTZ/MP2 Energy (Hartrees)
### column 4 -> cc-pVTZ/CCSD Energy (Hartrees)
0.5 -99.37935895346301 -99.64668557641515 -99.65145319155353
0.55 -99.62610410702437 -99.89491268326714 -99.8994262443721
0.6 -99.79135152805831 -100.06199334876946 -100.06621001317194
0.65 -99.90098787603262 -100.17367667466522 -100.17756325854646
0.7 -99.97223157134385 -100.2470994517199 -100.25063259195414
0.75 -100.01673234998957 -100.29386465635154 -100.2970313588523
0.8 -100.0424954986636 -100.32194394583539 -100.32474168482375
0.85 -100.05509450253504 -100.33687992056929 -100.33931605978479
0.9 -100.05844952439712 -100.34256484802108 -100.34465565789081
0.95 -100.05534028299664 -100.3417582658497 -100.34352787324143
1.0 -100.04775218863243 -100.33643596392464 -100.33791544225228
1.1 -100.0244531209526 -100.31756223897433 -100.31857920174716
1.2 -99.99585164784324 -100.29329126776933 -100.29403975969775
1.3 -99.96574750659885 -100.26748980416137 -100.26820624042988
1.4 -99.93607456504527 -100.24215314331394 -100.24311492569184
1.5 -99.90778348622715 -100.21828438631874 -100.21980547092805
1.6 -99.88131651512242 -100.1963714198472 -100.19879112534593
1.7 -99.85684493397738 -100.17662876969003 -100.18029259214076
1.8 -99.8343844614592 -100.15911607409429 -100.16434868570335
1.9 -99.81385917283589 -100.1438014222922 -100.15087255990257
2.0 -99.79514509236088 -100.13060164831361 -100.13968771534014
2.1 -99.77810096444874 -100.11941014025693 -100.13055798203477
2.2 -99.76258619900787 -100.11011411887002 -100.12321514624568
2.3 -99.74846787379921 -100.10260243690819 -100.11738316835266
